date,returns
2024-01-08,0.006168026824087519
2024-01-09,-0.0015426386068313333
2024-01-10,0.003801507428093912
2024-01-11,0.0020639457693337315
2024-01-12,1.2840519385738313e-05
2024-01-16,0.004640467147278271
2024-01-17,-0.004446456199645383
2024-01-18,0.014551834088704847
2024-01-19,0.014460088828030446
2024-01-22,-0.0027434988346736913
2024-01-23,0.008096170717716993
2024-01-24,0.001617920582005094
2024-01-25,0.0022295638626524637
2024-01-26,-0.0038121640056289407
2024-01-29,0.006529418281027937
2024-01-30,-0.0015074914362475387
2024-01-31,-0.0073364708844972735
2024-02-01,0.007829400192300206
2024-02-02,0.014587062162401427
2024-02-05,-0.000883764530620152
2024-02-06,-0.0038730186960570924
2024-02-07,0.009033877616336635
2024-02-08,0.0038973148249811605
2024-02-09,0.003913237286588934
2024-02-12,-0.003164612167088929
2024-02-13,-0.005832273839663224
2024-02-14,0.0048214243318587865
2024-02-15,0.00683161003130752
2024-02-16,-0.0013217354169953207
2024-02-20,-0.004031992609792284
2024-02-21,0.0039044565950349212
2024-02-22,0.02639324098644325
2024-02-23,-0.001391970030987979
2024-02-26,0.0022383721234259324
2024-02-27,-0.002974487656013237
2024-02-28,0.0002522718324721553
2024-02-29,0.0022906406272806047
2024-03-01,0.008140176613153052
2024-03-04,0.0026374467112094385
2024-03-05,-0.0012566842918286024
2024-03-06,0.009007963263194856
2024-03-07,0.010054774292539816
2024-03-08,-0.0040242993121884065
2024-03-11,-0.006146931695046897
2024-03-12,0.0076947982031252
2024-03-13,9.00342956663786e-05
2024-03-14,-0.001751443427194906
2024-03-15,-0.00011225344341389337
2024-03-18,0.005554445256635571
2024-03-19,0.0015611813881826943
2024-03-20,0.0053323369074764065
2024-03-21,0.0074141514869817075
2024-03-22,-0.0034360930433367225
2024-03-25,-0.00027267089490481933
2024-03-26,-0.0019052255367281875
2024-03-27,0.0064764318707410794
2024-03-28,0.0013950798075229337
2024-04-01,0.0014122203007071838
2024-04-02,0.004242054551958488
2024-04-03,0.004021994937056191
2024-04-04,-0.002727296675441696
2024-04-05,0.004233719830734236
2024-04-08,-0.0009147949674773982
2024-04-09,0.00011146238600282489
2024-04-10,-0.0026479528481647124
2024-04-11,0.003994761036461614
2024-04-12,-0.00383468939461607
2024-04-15,-0.0046476017364975065
2024-04-16,0.0016989778373181416
2024-04-17,-0.007352958520446089
2024-04-18,0.001503374236722259
2024-04-19,-0.0021828415393348555
2024-04-22,0.0015010772737763158
2024-04-23,0.004778334230518531
2024-04-24,0.0012677622600222155
2024-04-25,0.0017966522862189749
2024-04-26,0.019095383419469182
2024-04-29,0.009117236665532921
2024-04-30,-0.00026072148769208783
2024-05-01,-0.0033842521196863237
2024-05-02,0.000531371179411005
2024-05-03,-0.003424806525096727
2024-05-06,0.0077722742542757585
2024-05-07,0.0012448030485002557
2024-05-08,-0.0004399574468098887
2024-05-09,0.006752779790530348
